train/epoch,test/Log Prob,debug/MSE of random decoding Min,debug/MSE improvement over random Min,debug/MSE improvement over random Max,debug/MSE improvement over random Std,train/loss,debug/MSE of random decoding Mean,beta,debug/MSE of reconstruction,debug/MSE of random decoding Max,train/KL,debug/MSE of random decoding Std,debug/MSE improvement over random Mean,train/Log Prob,test/loss,test/KL
27,-2473.8927001953125,0.0,-0.027829004,0.022019245,0.011611388,292.6271725463867,0.040546134,10.0,0.03494195,1.0,13.001957130432128,0.19199358,0.0056041814,-162.60760162353515,2598.8329833984376,12.494027519226075
28,-282.132177734375,0.0,0.009119729,0.053263843,0.008391791,284.53037628173826,0.041394684,10.0,0.0036160068,1.0,12.939655027389527,0.1938575,0.037778683,-155.13382568359376,409.05401000976565,12.692183303833009
29,-5620.59208984375,0.0,0.004316084,0.044968173,0.009590426,282.2831283569336,0.04275085,10.0,0.01519154,1.0,12.879303398132324,0.19727512,0.027559323,-153.49009414672852,5740.366943359375,11.97747974395752
30,-1229.0719970703126,0.0,0.007037781,0.06496266,0.012396522,276.99336517333984,0.04300649,10.0,0.003338237,1.0,12.918226404190063,0.19787271,0.039668247,-147.81110153198242,1353.7882568359375,12.471624660491944
31,-1309.1078857421876,0.0,0.0095852595,0.056913152,0.009964402,276.99407470703125,0.043570865,10.0,0.005410327,1.0,12.851145038604736,0.19954567,0.038160525,-148.48262451171874,1435.3156494140626,12.620776844024657
32,-380.5388702392578,0.0,0.0086258445,0.054240722,0.010334772,268.53035873413086,0.042017084,10.0,0.0045268736,1.0,12.838758687973023,0.19558722,0.03749021,-140.1427744293213,509.4245971679687,12.888572597503662
33,-274.6741439819336,0.0,0.00590225,0.054212093,0.010200179,266.12351455688474,0.039121613,10.0,0.002365001,1.0,12.822983694076537,0.18889281,0.036756612,-137.89367782592774,404.05291748046875,12.93787727355957
34,-2504.9884033203125,0.0,0.011201993,0.04804583,0.0091571845,268.02343154907226,0.04107728,10.0,0.008550124,1.0,12.820196619033814,0.19412027,0.032527152,-139.8214638519287,2630.0746337890623,12.5086275100708
35,-228.01658325195314,0.0,0.00043656141,0.05500561,0.010538787,265.41606170654296,0.04226005,10.0,0.0012321522,1.0,12.823587446212768,0.19660974,0.041027892,-137.18018692016602,357.8914459228516,12.987486457824707
36,-712.5974975585938,0.0,0.0098032085,0.05589214,0.009263792,261.8799761962891,0.04128143,10.0,0.0030458253,1.0,12.727421817779542,0.19430602,0.038235605,-134.6057585144043,839.28095703125,12.668345928192139
37,-1685.5639526367188,0.0,0.009072414,0.03776974,0.007496615,258.76702713012696,0.0451749,10.0,0.019403249,1.0,12.708234882354736,0.20336749,0.025771659,-131.68467796325683,1810.783544921875,12.521957683563233
