train/epoch,train/Log Prob,train/KL,train/loss,debug/MSE improvement over random Mean,debug/MSE improvement over random Std,debug/MSE improvement over random Max,debug/MSE improvement over random Min,debug/MSE of random decoding Mean,debug/MSE of random decoding Std,debug/MSE of random decoding Max,debug/MSE of random decoding Min,debug/MSE of reconstruction,test/Log Prob,test/KL,test/loss,beta
0,-6395.356857910157,20.54335750579834,6600.790458984375,0.051800817,0.02933353,0.09326004,0.008378537,0.07097719,0.076208994,0.864606,8.891462e-09,0.019176347,-2476.9261474609375,11.27625789642334,2589.688720703125,10.0
1,-2338.1617602539063,8.576342973709107,2423.9251904296875,0.029616624,0.023077639,0.062999904,7.659756e-05,0.04340822,0.07775654,0.97398424,1.4210855e-14,0.013791586,-2220.5979736328127,6.889986276626587,2289.4978271484374,10.0
